method,n_total,n_decided,overall_accuracy,macro_precision,macro_recall,macro_f1,land_accuracy,contract_accuracy,service_accuracy,favorable_f1,unfavorable_f1,abstention_rate
Majority Class,90,90,61.11,30.56,50.00,37.93,66.67,40.00,76.67,0.7586,0.0000,0.00
BanglaLex (full),5,5,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),10,10,90.00,91.67,90.00,89.90,0.00,90.00,0.00,0.9091,0.8889,0.00
BanglaLex (full),15,15,93.33,92.86,94.44,93.21,0.00,93.33,0.00,0.9231,0.9412,0.00
BanglaLex (full),20,20,95.00,94.44,95.83,94.88,0.00,95.00,0.00,0.9412,0.9565,0.00
BanglaLex (full),25,25,92.00,90.91,93.75,91.67,0.00,92.00,0.00,0.9000,0.9333,0.00
BanglaLex (full),30,30,93.33,92.86,94.44,93.21,0.00,93.33,0.00,0.9231,0.9412,0.00
BanglaLex (full),35,35,91.43,91.18,92.86,91.32,80.00,93.33,0.00,0.9032,0.9231,0.00
BanglaLex (full),40,40,92.50,91.67,94.00,92.26,90.00,93.33,0.00,0.9091,0.9362,0.00
BanglaLex (full),45,45,93.33,93.48,94.00,93.32,93.33,93.33,0.00,0.9302,0.9362,0.00
BanglaLex (full),50,50,94.00,94.44,94.23,94.00,95.00,93.33,0.00,0.9412,0.9388,0.00
BanglaLex (full),55,55,94.55,95.31,94.23,94.48,96.00,93.33,0.00,0.9508,0.9388,0.00
BanglaLex (full),60,60,93.33,94.44,92.86,93.21,93.33,93.33,0.00,0.9412,0.9231,0.00
BanglaLex (full),65,65,93.85,95.00,93.10,93.66,93.33,93.33,100.00,0.9474,0.9259,0.00
BanglaLex (full),70,70,94.29,95.35,93.55,94.11,93.33,93.33,100.00,0.9512,0.9310,0.00
BanglaLex (full),75,75,94.67,95.65,93.94,94.50,93.33,93.33,100.00,0.9545,0.9355,0.00
BanglaLex (full),80,80,95.00,96.08,93.94,94.73,93.33,93.33,100.00,0.9592,0.9355,0.00
BanglaLex (full),85,85,95.29,96.36,94.12,94.99,93.33,93.33,100.00,0.9623,0.9375,0.00
BanglaLex (full),90,90,95.56,96.61,94.29,95.22,93.33,93.33,100.00,0.9649,0.9394,0.00
BanglaLex (full),90,90,95.56,96.61,94.29,95.22,93.33,93.33,100.00,0.9649,0.9394,0.00
