method,n_total,n_decided,overall_accuracy,macro_precision,macro_recall,macro_f1,land_accuracy,contract_accuracy,service_accuracy,favorable_f1,unfavorable_f1,abstention_rate
Majority Class,90,90,61.11,30.56,50.00,37.93,66.67,40.00,76.67,0.7586,0.0000,0.00
Majority Class,90,90,61.11,30.56,50.00,37.93,66.67,40.00,76.67,0.7586,0.0000,0.00
LLM-only (no RAG),90,67,76.12,75.23,76.27,75.46,69.57,68.42,88.00,0.7949,0.7143,25.56
BanglaLex (full),5,5,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),10,10,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),15,15,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),20,20,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),25,25,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),30,30,100.00,100.00,100.00,100.00,0.00,100.00,0.00,1.0000,1.0000,0.00
BanglaLex (full),35,35,97.14,97.73,96.43,96.99,80.00,100.00,0.00,0.9630,0.9767,0.00
BanglaLex (full),40,40,97.50,98.08,96.67,97.30,90.00,100.00,0.00,0.9655,0.9804,0.00
BanglaLex (full),45,45,95.56,96.30,95.00,95.45,86.67,100.00,0.00,0.9474,0.9615,0.00
BanglaLex (full),50,50,96.00,96.43,95.83,95.97,90.00,100.00,0.00,0.9565,0.9630,0.00
BanglaLex (full),55,55,96.36,96.43,96.55,96.36,92.00,100.00,0.00,0.9643,0.9630,0.00
BanglaLex (full),60,60,96.67,96.67,96.88,96.66,93.33,100.00,0.00,0.9677,0.9655,0.00
BanglaLex (full),65,65,96.92,96.77,97.22,96.90,93.33,100.00,100.00,0.9714,0.9667,0.00
BanglaLex (full),70,70,97.14,96.97,97.44,97.12,93.33,100.00,100.00,0.9737,0.9688,0.00
BanglaLex (full),75,75,97.33,97.14,97.62,97.31,93.33,100.00,100.00,0.9756,0.9706,0.00
BanglaLex (full),80,80,97.50,97.14,97.87,97.44,93.33,100.00,100.00,0.9783,0.9706,0.00
BanglaLex (full),85,85,97.65,97.22,98.04,97.57,93.33,100.00,100.00,0.9800,0.9714,0.00
BanglaLex (full),90,90,97.78,97.30,98.18,97.69,93.33,100.00,100.00,0.9815,0.9722,0.00
BanglaLex (full),90,90,97.78,97.30,98.18,97.69,93.33,100.00,100.00,0.9815,0.9722,0.00
